"InventoryID","Glottocode","ISO6393","LanguageName","SpecificDialect","GlyphID","Phoneme","Allophones","Marginal","SegmentClass","Source","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","lenis","raisedLarynxEjective","loweredLarynxImplosive","click"
1,"kore1280","kor","Korean",NA,"0068","h","ç h ɦ",NA,"consonant","spa","0","-","-","-","-","-","-","+","+","-","-","-","-","-","-","0","0","-","0","0","0","-","0","0","0","0","0","-","-","-","-","+","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006A","j","j",NA,"consonant","spa","0","-","-","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","+","-","+","-","-","+","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006B","k","k̚ ɡ k",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006B+02B0","kʰ","kʰ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","-","-","-","-","+","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006B+02C0","kˀ","kˀ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","-","-","-","-","-","+","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006C","l","ɾ l lʲ",NA,"consonant","spa","0","-","-","-","-","+","+","+","0","+","-","-","-","+","-","0","0","+","+","-","-","-","0","0","0","0","0","-","-","+","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006D","m","mb m",NA,"consonant","spa","0","-","-","-","-","+","+","-","0","-","-","-","+","-","+","-","-","-","0","0","0","-","0","0","0","0","0","-","-","+","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"006E","n","nd nʲ n̚ n",NA,"consonant","spa","0","-","-","-","-","+","+","-","0","-","-","-","+","-","-","0","0","+","+","-","-","-","0","0","0","0","0","-","-","+","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0070","p","p b p̚",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0070+02B0","pʰ","pʰ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","-","-","-","-","+","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0070+02C0","pˀ","pˀ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","-","-","-","-","-","+","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0073","s","s z ʃ",NA,"consonant","spa","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0073+02C0","sˀ","sˀ",NA,"consonant","spa","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","-","-","-","-","-","+","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074","t","d t t̚",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074+02B0","tʰ","tʰ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","-","-","-","-","+","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074+02C0","tˀ","tˀ",NA,"consonant","spa","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","-","-","-","-","-","+","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074+0320+0283","t̠ʃ","ts t̠ʃ d̠ʒ",NA,"consonant","spa","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074+0320+0283+02B0","t̠ʃʰ","t̠ʃʰ",NA,"consonant","spa","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","-","-","-","-","+","-","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0074+0320+0283+02C0","t̠ʃˀ","t̠ʃˀ",NA,"consonant","spa","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","-","-","-","-","-","+","-","-","-","-","-"
1,"kore1280","kor","Korean",NA,"0077","w","w",NA,"consonant","spa","0","-","-","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","-","-","-","-","-"
